"gruppo","titolo","titoloBreve","inizio","fine"
"http://dati.senato.it/commissione/0-113","Commissione speciale per l'esame del disegno di legge riguardante la ratifica di decreti legislativi emanati dal Governo durante il periodo della Costituente (n. 751)","Commissione speciale ddl ratifica decreti legislativi",1954-11-10,1958-06-11
"http://dati.senato.it/commissione/0-114","Commissione speciale per l'esame del disegno di legge concernente la ratifica degli atti internazionali di Parigi relativi all'Unione dell'Europa Occidentale (n. 879)","Speciale ddl ratifica atti Unione dell'Europa Occidentale",1955-01-20,1955-04-15
"http://dati.senato.it/commissione/0-115","Commissione speciale per l'esame del disegno di legge concernente provvedimenti straordinari per la Calabria (n. 947)","Speciale ddl provvedimenti straordinari per la Calabria",1955-02-18,1955-12-13
"http://dati.senato.it/commissione/0-116","Commissione speciale per l'esame del disegno di legge concernente l'ordinamento e le attribuzioni del Consiglio nazionale dell'economia e del lavoro (n. 922)","Commissione speciale ddl ordinamento e attribuzioni CNEL",1955-04-19,1957-01-05
"http://dati.senato.it/commissione/0-117","Commissione speciale per l'esame del disegno di legge recante provvedimenti per la città di Roma (n. 1296)","Commissione speciale ddl provvedimenti per Roma",1956-02-15,1958-06-11
"http://dati.senato.it/commissione/0-118","Commissione speciale per l'esame del disegno di legge concernente norme generali sull'azione amministrativa","Commissione speciale ddl azione amministrativa",1956-10-23,1958-06-11
"http://dati.senato.it/commissione/0-119","Commissione speciale per l'esame del disegno di legge di ratifica dei trattati istitutivi della Comunità economica europea e dell'Euratom","Commissione speciale ddl ratifica trattati CEE e Euratom",1957-09-24,1957-10-14
"http://dati.senato.it/commissione/0-12","11ª Commissione permanente","Igiene e sanita'",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-12","12ª Commissione permanente","Igiene e sanita'",1971-10-01,2022-10-12
"http://dati.senato.it/commissione/0-120","Commissione speciale per l'esame del disegno di legge concernente provvedimenti straordinari per l'Abruzzo (n. 23859","Commissione speciale ddl provvedimenti straordinari Abruzzo",1958-02-14,1958-06-11
"http://dati.senato.it/commissione/0-121","Commissione speciale per l'esame del disegno di legge concernente provvidenze per la riparazione di danni provocati da avverse condizioni atmosferiche, per il potenziamento dell'attività economica nazionale ed altri provvedimenti, nonché variazioni allo stato di previsione dell'entrata, a quelli della spesa di vari ministeri ed ai bilanci di talune aziende autonome per l'esercizio finanziario 1957-58 e del disegno di legge di autorizzazione all'esercizio provvisorio del bilancio per l'anno finanziario 1958 - 1959 (n. 1,4)","Speciale ddl attività economica e eserc. provv. (n. 1,4)",1958-06-13,1958-06-24
"http://dati.senato.it/commissione/0-122","Commissione speciale per l'esame dei disegni di legge concernenti provvedimenti speciali per la Capitale e la provincia di Roma (nn. 154 e 738)","Commissione speciale ddl provvedimenti speciali Capitale",1958-11-18,1963-05-15
"http://dati.senato.it/commissione/0-123","Commissione speciale per l'esame dei disegni di legge costituzionale concernenti la durata e la composizione del Senato della Repubblica (nn. 250 e 285)","Speciale ddl durata e composizione Senato della Repubblica",1958-11-27,1963-02-09
"http://dati.senato.it/commissione/0-124","Commissione speciale per l'esame del disegno di legge concernente provvedimenti straordinari per l'Abruzzo (n. 409)","Speciale ddl provvedimenti straordinari Abruzzo (n. 409)",1959-04-21,1963-05-15
"http://dati.senato.it/commissione/0-125","Commissione speciale per l'esame del disegno di legge concernente interventi in favore dell'economia nazionale (n. 661)","Speciale ddl economia nazionale (n. 661)",1959-07-17,1959-07-24
"http://dati.senato.it/commissione/0-126","Commissione speciale per l'esame del disegno di legge recante norme per la costruzione di abitazioni per i lavoratori agricoli (n. 1070)","Speciale ddl abitazioni lavoratori agricoli (n. 1070)",1960-06-14,1960-12-30
"http://dati.senato.it/commissione/0-127","Commissione speciale per l'esame del disegno di legge recante ""Istituzione dell'Ente nazionale per l'energia elettrica e trasferimento ad esso delle imprese esercenti le industrie elettriche"" (n. 2189)","Speciale ddl istituzione ENEL (n. 2189)",1962-06-25,1962-12-06
"http://dati.senato.it/commissione/0-128","Commissione speciale per l'esame del disegno di legge recante ""Norme generali sulla azione amministrativa"" (n. 2409)","Speciale ddl azione amministrativa (n. 2409)",1963-01-29,1963-05-15
"http://dati.senato.it/commissione/0-129","Commissione speciale per l'esame del disegno di legge : ""Autorizzazione all'esercizio provvisorio del bilancio per l'anno finanziario 1963-64"" (n. 34)","Speciale ddl esercizio provvisorio 63-64 (n. 34)",1963-06-25,1963-06-28
"http://dati.senato.it/commissione/0-13","13ª Commissione permanente","Territorio, ambiente, beni ambientali",1987-07-30,2022-10-12
"http://dati.senato.it/commissione/0-130","Commissione speciale per l'esame del disegno di legge: ""Bilancio di previsione dello Stato, per il periodo 1° luglio - 31 dicembre 1964"" (n. 502)","Speciale ddl bilancio 1.7/31.12.1964 (n. 502)",1964-04-24,1964-06-28
"http://dati.senato.it/commissione/0-131","Commissione speciale per l'esame del disegno di legge: ""Conversione in legge, con modificazioni, del decreto-legge 15 marzo 1965, n. 124, recante interventi per la ripresa dell'economia nazionale"" (n. 1137)","Speciale ddl ripresa economia nazionale (n. 1137)",1965-04-16,1965-05-13
"http://dati.senato.it/commissione/0-132","Commissione speciale per l'esame del disegno di legge: ""Disciplina degli interventi per lo sviluppo del Mezzogiorno"" (n. 1212)","Commissione speciale ddl Mezzogiorno (n. 1212)",1965-05-25,1965-06-26
"http://dati.senato.it/commissione/0-133","Commissione speciale per l'esame dei decreti-legge concernenti norme a favore dei comuni della Sicilia colpiti dai terremoti del gennaio 1968 (nn. 2854, 2855, 2856, 2857)","Commissione speciale ddl terremoti in Sicilia (2854 e altri)",1968-03-06,1968-03-18
"http://dati.senato.it/commissione/0-134","Commissione d'inchiesta sull'attività e sul funzionamento dell'Istituto nazionale della previdenza sociale","Commissione d'inchiesta attività e funzionamento INPS",1966-07-21,1967-05-31
"http://dati.senato.it/commissione/0-135","Comitato per il risparmio e l'efficienza energetica, nonché la promozione dell'uso di energia da fonti rinnovabili","Comitato per il risparmio e l'efficienza energetica",2011-07-05,
"http://dati.senato.it/commissione/0-136","Commissione parlamentare di inchiesta sul fenomeno delle intimidazioni nei confronti degli amministratori locali","Commissione di inchiesta sul fenomeno delle intimidazioni nei confronti degli amministratori locali",2013-10-03,2015-03-26
"http://dati.senato.it/commissione/0-138","Comitato 8ª Commissione permanente indagine conoscitiva esecuzione opere pubbliche","Comitato 8ª indagine conoscitiva esecuzione opere pubbliche",1992-04-23,1994-04-14
"http://dati.senato.it/commissione/0-139","Commissione parlamentare di inchiesta sulle cause del disastro del traghetto Moby Prince","Inchiesta Moby Prince",2015-07-22,2018-03-22
"http://dati.senato.it/commissione/0-14","14ª Commissione permanente","Politiche dell'Unione europea",2003-10-07,2022-10-12
"http://dati.senato.it/commissione/0-14","4ª Commissione permanente","Politiche dell'Unione europea",2022-10-13,
"http://dati.senato.it/commissione/0-140","Commissione parlamentare di inchiesta sulla ricostruzione della città dell'Aquila e degli altri comuni interessati dal sisma del 6 aprile 2009","Inchiesta ricostruzione L'Aquila sisma 2009",2016-11-10,2018-03-22
"http://dati.senato.it/commissione/0-141","Commissione parlamentare di inchiesta sul femminicidio, nonché su ogni forma di violenza di genere","Inchiesta femminicidio e violenza di genere",2017-01-18,2018-03-22
"http://dati.senato.it/commissione/0-141","Commissione parlamentare di inchiesta sul femminicidio, nonché su ogni forma di violenza di genere","Inchiesta femminicidio e violenza di genere",2018-10-16,2022-10-12
"http://dati.senato.it/commissione/0-142","Commissione parlamentare di inchiesta sulle condizioni di lavoro in Italia, sullo sfruttamento e sulla sicurezza nei luoghi di lavoro pubblici e privati","Inchiesta condizioni di lavoro in Italia, sullo sfruttamento e sulla sicurezza luoghi pubblici e privati",2019-10-31,2022-10-12
"http://dati.senato.it/commissione/0-142","Commissione parlamentare di inchiesta sulle condizioni di lavoro in Italia, sullo sfruttamento e sulla sicurezza nei luoghi di lavoro","Commissione parlamentare di inchiesta condizioni di lavoro in Italia, sfruttamento e sicurezza luoghi di lavoro",2023-03-22,
"http://dati.senato.it/commissione/0-143","Commissione straordinaria per il contrasto dei fenomeni di intolleranza, razzismo, antisemitismo e istigazione all'odio e alla violenza","Commissione straordinaria intolleranza, razzismo, antisemitismo, istigazione all'odio e alla violenza",2019-10-30,2022-10-12
"http://dati.senato.it/commissione/0-143","Commissione straordinaria per il contrasto dei fenomeni di intolleranza, razzismo, antisemitismo e istigazione all'odio e alla violenza","Commissione straordinaria intolleranza, razzismo, antisemitismo, istigazione all'odio e alla violenza",2023-01-19,
"http://dati.senato.it/commissione/0-144","Commissione parlamentare di inchiesta sul gioco illegale e sulle disfunzioni del gioco pubblico","Inchiesta gioco illegale e disfunzioni gioco pubblico",2021-06-22,2022-10-12
"http://dati.senato.it/commissione/0-145","3ª Commissione permanente","Affari esteri e difesa",2022-10-13,
"http://dati.senato.it/commissione/0-146","8ª Commissione permanente","Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica",2022-10-13,
"http://dati.senato.it/commissione/0-147","9ª Commissione permanente","Industria, commercio, turismo, agricoltura e produzione agroalimentare",2022-10-13,
"http://dati.senato.it/commissione/0-148","10ª Commissione permanente","Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale",2022-10-13,
"http://dati.senato.it/commissione/0-149","Comitato per la legislazione","Comitato per la legislazione",2022-10-13,
"http://dati.senato.it/commissione/0-150","Commissione parlamentare di inchiesta sul sistema bancario, finanziario e assicurativo","Commissione parlamentare di inchiesta sistema bancario, finanziario e assicurativo",2024-12-17,
"http://dati.senato.it/commissione/0-151","Commissione parlamentare di inchiesta sulla diffusione intenzionale e massiva di informazioni false attraverso la rete internet e sul diritto all'informazione e alla libera formazione dell'opinione pubblica, nel rispetto della dignità umana, del principio di non discriminazione e di contrasto ai discorsi d'odio","Commissione parlamentare di inchiesta sulla diffusione intenzionale e massiva di informazioni false attraverso la rete internet e sul diritto all'informazione e alla libera formazione dell'opinione pubblica",2026-03-04,
"http://dati.senato.it/commissione/0-2","2ª Commissione permanente","Giustizia e autorizzazioni a procedere",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-2","2ª Commissione permanente","Giustizia",1971-10-01,
"http://dati.senato.it/commissione/0-20","Giunta per il regolamento","Giunta per il regolamento",1948-05-08,1992-04-22
"http://dati.senato.it/commissione/0-20","Giunta per il Regolamento","Giunta per il Regolamento",1992-04-23,
"http://dati.senato.it/commissione/0-21","Giunta delle elezioni","Giunta delle elezioni",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-21","Giunta delle elezioni e delle immunita' parlamentari","Giunta delle elezioni e delle immunita' parlamentari",1971-10-01,1992-04-22
"http://dati.senato.it/commissione/0-21","Giunta delle elezioni e delle immunita' parlamentari","Giunta delle elezioni e delle immunita' parlamentari",1992-04-23,
"http://dati.senato.it/commissione/0-22","Commissione per la biblioteca","Commissione per la biblioteca",1948-05-08,2002-07-22
"http://dati.senato.it/commissione/0-22","Commissione per la biblioteca e per l'archivio storico","Commissione per la biblioteca e l'archivio storico",2002-07-23,
"http://dati.senato.it/commissione/0-23","Giunta consultiva per gli affari delle Comunita' Europee","Giunta consultiva affari Comunita' Europee",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-23","Giunta per gli affari delle Comunita' Europee","Giunta affari Comunita' Europee",1971-10-01,2003-10-06
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1976-07-05,1976-07-05
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1979-06-20,1979-06-20
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1983-07-12,1983-07-12
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1987-07-02,1987-07-02
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1992-04-23,1992-04-23
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",2008-04-29,2008-04-29
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",2013-03-15,2013-06-05
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",2018-03-23,2018-07-17
"http://dati.senato.it/commissione/0-24","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",2022-10-13,2022-11-14
"http://dati.senato.it/commissione/0-25","Commissione di indagine istituita ai sensi dell' articolo 88 del Regolamento","Commissione di indagine istituita ex art. 88 del Regolamento",1995-02-23,1995-03-15
"http://dati.senato.it/commissione/0-3","3ª Commissione permanente","Affari esteri e colonie",1948-05-08,1958-01-31
"http://dati.senato.it/commissione/0-3","3ª Commissione permanente","Affari esteri",1958-02-01,1971-09-30
"http://dati.senato.it/commissione/0-3","3ª Commissione permanente","Affari esteri",1971-10-01,1987-07-29
"http://dati.senato.it/commissione/0-3","3ª Commissione permanente","Affari esteri, emigrazione",1987-07-30,2022-10-12
"http://dati.senato.it/commissione/0-30","Commissione speciale per l'esame di provvedimenti recanti interventi per i territori colpiti da eventi sismici","Commissione speciale eventi sismici",1984-01-24,1987-07-01
"http://dati.senato.it/commissione/0-31","Commissione speciale sul caso della filiale di Atlanta della Banca Nazionale del Lavoro","Commissione speciale filiale di Atlanta BNL",1990-01-24,1991-02-07
"http://dati.senato.it/commissione/0-32","Commissione parlamentare d'inchiesta sul caso della filiale di Atlanta della Banca Nazionale del Lavoro e sue connessioni","Commissione parlamentare d'inchiesta filiale Atlanta BNL",1991-02-19,1992-04-23
"http://dati.senato.it/commissione/0-32","Commissione parlamentare di inchiesta sulla utilizzazione dei finanziamenti concessi all' Iraq dalla filiale di Atlanta della Banca nazionale del lavoro","Commissione parlamentare d'inchiesta filiale Atlanta BNL",1992-11-17,1994-04-14
"http://dati.senato.it/commissione/0-34","Commissione parlamentare d'inchiesta sulle strutture sanitarie","Commissione d'inchiesta sulle strutture sanitarie",1994-10-04,1996-03-31
"http://dati.senato.it/commissione/0-34","Commissione parlamentare d'inchiesta sul sistema sanitario","Commissione d'inchiesta sul sistema sanitario",1997-04-03,2001-05-29
"http://dati.senato.it/commissione/0-35","Commissione speciale in materia d'infanzia","Commissione speciale in materia d'infanzia",1996-10-02,2001-05-29
"http://dati.senato.it/commissione/0-35","Commissione speciale in materia d'infanzia e di minori","Commissione speciale in materia d'infanzia e di minori",2001-12-13,2006-04-27
"http://dati.senato.it/commissione/0-36","Commissione parlamentare d'inchiesta sul fenomeno del cosiddetto ""caporalato""","Commissione d'inchiesta sul fenomeno del ""caporalato""",1994-09-20,1996-04-30
"http://dati.senato.it/commissione/0-37","Commissione parlamentare d'inchiesta sul problema dei rifiuti e sulle attivita' poste in essere in materia dalle pubbliche amministrazioni centrali e periferiche","Commissione d'inchiesta sul problema dei rifiuti",1996-01-30,1996-05-08
"http://dati.senato.it/commissione/0-4","4ª Commissione permanente","Difesa",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-4","4ª Commissione permanente","Difesa",1971-10-01,2022-10-12
"http://dati.senato.it/commissione/0-5","5ª Commissione permanente","Bilancio",1971-10-01,
"http://dati.senato.it/commissione/0-54","Commissione parlamentare d' inchiesta sulla dignita' e condizione sociale dell' anziano","Commissione d' inchiesta sulla dignita' dell' anziano",1988-03-17,1989-07-31
"http://dati.senato.it/commissione/0-56","Commissione parlamentare d' inchiesta sulle condizioni di lavoro nelle aziende","Commissione d' inchiesta sulle condizioni di lavoro",1988-07-07,1989-12-31
"http://dati.senato.it/commissione/0-57","Commissione contenziosa","Commissione contenziosa",1996-05-09,
"http://dati.senato.it/commissione/0-58","Consiglio di garanzia","Consiglio di garanzia",1996-05-09,
"http://dati.senato.it/commissione/0-59","Consiglio di disciplina","Consiglio di disciplina",1996-05-09,
"http://dati.senato.it/commissione/0-6","5ª Commissione permanente","Finanze e tesoro",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-6","6ª Commissione permanente","Finanze e tesoro",1971-10-01,
"http://dati.senato.it/commissione/0-61","Giunta consultiva per il Mezzogiorno","Giunta consultiva per il Mezzogiorno",1948-05-08,1976-06-14
"http://dati.senato.it/commissione/0-63","Commissione speciale per l'esame del disegno di legge concernente provvedimenti straordinari per la città di Cavarzere (n. 826)","Commissione speciale ddl città di Cavarzere (n. 826)",1960-01-18,1963-05-15
"http://dati.senato.it/commissione/0-64","Commissione speciale per l'esame del disegno di legge recante ""Provvedimenti per l'edilizia ospedaliera"" (n. 2291)","Commissione speciale ddl edilizia ospedaliera (n. 2291)",1962-11-29,1963-05-15
"http://dati.senato.it/commissione/0-69","Commissione speciale per l'esame dei provvedimenti recanti interventi a favore delle zone del Friuli-Venezia Giulia colpite dal terremoto","Commissione speciale terremoto Friuli-Venezia Giulia",1976-06-20,1979-06-02
"http://dati.senato.it/commissione/0-7","6ª Commissione permanente","Istruzione pubblica e belle arti",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-7","7ª Commissione permanente","Istruzione pubblica",1971-10-01,1987-07-29
"http://dati.senato.it/commissione/0-7","7ª Commissione permanente","Istruzione pubblica, beni culturali",1987-07-30,2022-10-12
"http://dati.senato.it/commissione/0-7","7ª Commissione permanente","Cultura e patrimonio culturale, istruzione pubblica",2022-10-13,
"http://dati.senato.it/commissione/0-70","Commissione speciale per l'esame del disegno di legge recante interventi per la ricostruzione delle zone del Friuli-Venezia Giulia e del Veneto colpite dagli eventi sismici del 1976","Commissione speciale ricostruzione Friuli e Veneto",1976-06-20,1979-06-02
"http://dati.senato.it/commissione/0-71","Commissione speciale per l'esame del disegno di legge di conversione del decreto-legge 26 novembre 1980, n. 776, recante interventi urgenti in favore delle popolazioni colpite dal terremoto del novembre 1980","Commissione speciale esame ddl terremoto novembre 1980",1980-11-27,1981-02-18
"http://dati.senato.it/commissione/0-72","Commissione speciale per l'esame di provvedimenti riguardanti la ricostruzione dei territori colpiti dal terremoto del novembre 1980","Commissione speciale ricostruzione terremoto novembre 1980",1981-02-19,1982-01-13
"http://dati.senato.it/commissione/0-73","Commissione speciale per l'esame di provvedimenti concernenti modifiche ed integrazioni alle norme per la ricostruzione e lo sviluppo dei territori colpiti da eventi sismici","Commissione speciale modifiche ricostruzione eventi sismici",1982-01-14,1983-07-11
"http://dati.senato.it/commissione/0-74","Commissione speciale per l'esame di disegni di legge di conversione di decreti-legge","Comm. spec. esame ddl di conversione di decreti legge",2001-05-30,2001-06-27
"http://dati.senato.it/commissione/0-74","Commissione speciale per l'esame di disegni di legge di conversione di decreti-legge","Commissione speciale esame ddl di conversione di decreti-legge",2006-05-19,2006-06-05
"http://dati.senato.it/commissione/0-74","Commissione speciale per l'esame di disegni di legge di conversione di decreti-legge","Commissione speciale esame ddl di conversione di decreti legge",2008-05-08,2008-05-22
"http://dati.senato.it/commissione/0-74","Commissione speciale per l'esame di disegni di legge di conversione di decreti-legge e di altri provvedimenti urgenti presentati dal Governo","Commissione speciale su atti urgenti del Governo",2013-03-26,2013-05-07
"http://dati.senato.it/commissione/0-74","Commissione speciale per l'esame degli atti urgenti presentati dal Governo","Commissione speciale su atti urgenti del Governo",2018-03-29,2018-06-21
"http://dati.senato.it/commissione/0-74","Commissione speciale per l'esame degli atti urgenti presentati dal Governo","Commissione speciale su atti urgenti del Governo",2022-10-19,2022-11-10
"http://dati.senato.it/commissione/0-75","Commissione straordinaria per la tutela e la promozione dei diritti umani","Commissione straordinaria diritti umani",2001-09-18,2006-04-27
"http://dati.senato.it/commissione/0-75","Commissione speciale  per la tutela e la promozione dei diritti umani","Commissione speciale diritti umani",2007-10-08,2008-04-28
"http://dati.senato.it/commissione/0-75","Commissione straordinaria per la tutela e la promozione dei diritti umani","Commissione straordinaria diritti umani",2008-07-30,2013-03-14
"http://dati.senato.it/commissione/0-75","Commissione straordinaria per la tutela e la promozione dei diritti umani","Commissione straordinaria diritti umani",2013-04-16,2018-03-22
"http://dati.senato.it/commissione/0-75","Commissione straordinaria per la tutela e la promozione dei diritti umani","Commissione straordinaria diritti umani",2018-07-10,2022-10-12
"http://dati.senato.it/commissione/0-75","Commissione straordinaria per la tutela e la promozione dei diritti umani","Commissione straordinaria diritti umani",2023-01-19,
"http://dati.senato.it/commissione/0-76","Commissione parlamentare d'inchiesta sull'efficacia e l'efficienza del Servizio sanitario nazionale, nonché sulle cause dell'incendio sviluppatosi tra il 15 e il 16 dicembre 2001 nel comune di San Gregorio Magno","Commissione d'inchiesta sul Servizio sanitario nazionale",2002-05-08,2006-04-27
"http://dati.senato.it/commissione/0-77","Commissione per la parità e le pari opportunità nel Senato","Commissione per la parità e le pari opportunità nel Senato",1999-03-02,
"http://dati.senato.it/commissione/0-78","Comitato per le questioni degli italiani all'estero","Comitato per le questioni degli italiani all'estero",2003-02-20,2006-04-27
"http://dati.senato.it/commissione/0-78","Comitato per le questioni degli italiani all'estero","Comitato per le questioni degli italiani all'estero",2007-06-15,2008-04-28
"http://dati.senato.it/commissione/0-78","Comitato per le questioni degli italiani all'estero","Comitato per le questioni degli italiani all'estero",2008-07-30,2013-03-14
"http://dati.senato.it/commissione/0-78","Comitato per le questioni degli italiani all'estero","Comitato per le questioni degli italiani all'estero",2013-05-14,2018-03-22
"http://dati.senato.it/commissione/0-79","Commissione parlamentare d'inchiesta sulle cause dell'inquinamento del fiume Sarno","Commissione d'inchiesta cause inquinamento fiume Sarno",2003-07-22,2006-04-27
"http://dati.senato.it/commissione/0-8","7ª Commissione permanente","Lavori pubblici, Trasporti, Poste e Tel. e Marina Mercantile",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-8","8ª Commissione permanente","Lavori pubblici, comunicazioni",1971-10-01,2022-10-12
"http://dati.senato.it/commissione/0-81","Commissione parlamentare d'inchiesta sui casi di morte e gravi malattie che hanno colpito il personale militare italiano impiegato nelle missioni internazionali di pace, sulle condizioni della conservazione e sull'eventuale utilizzo di uranio impoverito nelle esercitazioni militari sul territorio nazionale","Commissione d'inchiesta uranio impoverito",2004-11-17,2006-04-27
"http://dati.senato.it/commissione/0-81","Commissione parlamentare di inchiesta sui casi di morte e gravi malattie che hanno colpito il personale italiano impiegato nelle missioni militari all'estero, nei poligoni di tiro e nei siti in cui vengono stoccati munizionamenti, nonché le popolazioni civili nei teatri di conflitto e nelle zone adiacenti le basi militari sul territorio nazionale, con particolare attenzione agli effetti dell'utilizzo di proiettili all'uranio impoverito e della dispersione nell'ambiente di nanoparticelle di minerali pesanti prodotte dalle esplosioni di materiale bellico","Commissione di inchiesta sull' uranio impoverito",2006-11-18,2008-04-28
"http://dati.senato.it/commissione/0-81","Commissione parlamentare d'inchiesta sui casi di morte e di gravi malattie che hanno colpito il personale italiano impiegato all'estero, nei poligoni di tiro e nei siti in cui vengono stoccati munizionamenti, in relazione all'esposizione a particolari fattori chimici, tossici e radiologici dal possibile effetto patogeno, con particolare attenzione agli effetti dell'utilizzo di proiettili all'uranio impoverito e della dispersione nell'ambiente di nanoparticelle di minerali pesanti prodotte dalle esplosioni di materiale bellico e a eventuali interazioni","Commissione parlamentare d'inchiesta sull'esposizione a possibili fattori patogeni, con particolare riferimento all'uso dell'uranio impoverito",2010-03-16,2013-03-14
"http://dati.senato.it/commissione/0-82","Commissione parlamentare di inchiesta sugli infortuni sul lavoro, con particolare riguardo alle cosiddette ""morti bianche""","Commissione di inchiesta sugli infortuni sul lavoro",2005-03-23,2006-04-27
"http://dati.senato.it/commissione/0-82","Commissione parlamentare di inchiesta sul fenomeno degli infortuni sul lavoro, con particolare riguardo alle cosiddette ""morti bianche""","Commissione di inchiesta sugli infortuni sul lavoro",2006-11-13,2008-04-28
